1_keyword,1_line1,1_line2,1_line3,1_line4,1_line5,1_score,1_type,2_keyword,2_line1,2_line2,2_line3,2_line4,2_line5,2_score,2_type,3_letter_word
fall,There was a wise boy named Bill,Who lost all his money in a will.,"When he returned to school,","His father was a fool,",So he went to live down on the hill.,-2.7809688737615900,Candidate_Rank,fall,There was a lucky boy named Chase,Who did a great job on our place.,"We got back from the show,","We were ready to go,",And he came down and took our space.,-2.638252429664140,LimGen,0
kindness,There was a humble man named Javier,Who loved a good story and prayer.,"He would say to a friend,","It was easy to end,",It was hard to start a new nightmare.,-3.07732896626957,Candidate_Rank,kindness,There once was a grandma named Kay,Who loved all her family in a way.,"It was like a prayer,","And she prayed to the air,",And that is the spirit of this day.,-3.0061631985008700,LimGen,4
world,There once was a man named Theodore,Who lost all his money in a war.,"When he returned to fight,","He was killed by a knight,",And that is the reason of this lore.,-2.747523329220710,LimGen,world,There was a wise woman named Lenore,Who lost all her money in a war.,"When she returned to hell,","She was saved by a spell,",And now she has a family therefore.,-2.8787840566327500,Candidate_Rank,2
library,There was a neat teacher named Renee,Who shared all her knowledge in a way.,"It was like a playground,","It was the perfect sound,",It was easy to learn and to play.,-2.7342692065623500,LimGen,library,There was a smart teacher named Ward,Who found a strange object on his board.,"When he returned to school,","He was caught by a rule,",So he had to sit down on the sword.,-2.9061800921053600,Candidate_Rank,1
season,There was a shy captain named Amal,Who kept a close eye on her football.,"When she started to play,","It was easy to say,",It was hard to get a good recall.,-2.702982441251800,Candidate_Rank,season,There was a shy actor named Dario,Who played a big role on our show.,"He came back from the break,","And we went to the lake,",And he sat down and took his photo.,-2.5737036249854300,LimGen,2
park,There once was a lady named Bridgette,Who drove a white van on our street.,"We were on the highway,","And we saw to the way,",And we went down and took our seat.,-2.871765423566100,LimGen,park,There was a neat boy named Pete,Who drove a white van on our street.,"He worked for our school,","But he never saw pool,",So he never played on the concrete.,-2.9697364548842100,Candidate_Rank,2
applaud,There was a wise bully named Dwight,Who wished a good time on his invite.,"He wanted to impress,","So he turned down the dress,",But he thought he was doing it right.,-3.1971776821920900,LimGen,applaud,There was a wise judge named Dwight,Who wished a good time on his invite.,"When he arrived to stand,","He was struck by a hand,",So he ran up and put on the light.,-3.3501953879992200,Candidate_Rank,1
leader,There was a lieutenant named Kay,Who led a small army on her way.,"When she arrived to fight,","She was struck by a light,",And she fell down and broke her okay.,-2.9524380736984300,Candidate_Rank,leader,There was a lieutenant named Kay,Who met a young woman on her way.,"She was a musician,","She was on a mission,",And that is the beauty of this day.,-2.842014162490770,LimGen,2
forest,There was a brave farmer named Burt,Who harvested an acre of dirt.,"When he returned to town,","His wife had a breakdown,",And he ran down and buried his shirt.,-2.9412966247262600,Candidate_Rank,forest,There was a fierce farmer named Dayle,Who hunted as she went on a trail.,"When she returned to town,","She was met by a clown,",And that is the story of this tale.,-2.832292463630440,LimGen,3
color,There was a chunky girl named Grace,Who used a red lipstick on her face.,"She looked like a rainbow,","Her hair was a shadow,",And she wore makeup everywhere place.,-3.1098930727818900,Candidate_Rank,color,There was a chunky girl named Grace,Who used a red lipstick on her face.,"It looked like a rainbow,","But was a black shadow,",And that is the color of this place.,-2.9775218612724700,LimGen,2
noble,There was a vain woman named Nicole,Who wished a great favor on my soul.,"But my heart remained pure,","And i went to the cure,",Which was done with the strongest console.,-3.2090088609726200,Candidate_Rank,noble,There was a vain soldier named Theodore,Who wished all his money in a war.,"But his father was cruel,","His mother was a fool,",So he went to live down on the shore.,-3.1731919841840900,LimGen,2
promise,There was a lady named Kay,Who did a great job on our way.,"Her parents were so kind,","She was able to find,",And that is the beauty of this day.,-3.019768450003600,LimGen,promise,There was a honest man named Scot,Who gave a long lecture on his thought.,"When he started to cry,","I was ready to die,",And that is the reason of this plot.,-3.130273543057900,Candidate_Rank,2
child,There was a nervous girl named Grace,Who put a big smile on our face.,"When she started to cry,","I was ready to die,",But i knew she was giving me grace.,-2.6406905940703800,LimGen,child,There was a nervous girl named Grace,Who put a big smile on our face.,"She was like a girlfriend,","She was the perfect friend,",It was great to have a female space.,-2.7683449305233500,Candidate_Rank,3
born,There once was a woman named Renee,Who lived a good life on her birthday.,"She was a musician,","She was on a mission,",She was blessed to have a perfect day.,-2.5748774468898800,LimGen,born,There was a brave boy named Lyle,Who lived all his life in a exile.,"He came back from the war,","And he went to the door,",He looked through the window and saw trial.,-2.9136468542344600,Candidate_Rank,2
loss,There once was a doctor named Amal,Who lost all her money in a fall.,"When she returned to fight,","She was shocked by her height,",But she knew she was fighting it tall.,-3.026299807243050,Candidate_Rank,loss,There was a nervous man named Jamal,Who lost all his money in a fall.,"When he returned to fight,","He was stunned by his plight,",And that is the story of this brawl.,-2.9072456136345900,LimGen,2
cunning,There was a cunning witch named Lorelei,Who fooled all her family in a lie.,"When she returned to hide,","She was met by her side,",But she knew she was doing it dry.,-3.3234059251844900,Candidate_Rank,cunning,There was a magician named Rick,Who fooled all his family in a trick.,"But his father was cruel,","His mother was a fool,",So he had to go down on the stick.,-3.165230971761050,LimGen,2
