1_line1,1_line2,1_line3,1_line4,1_line5,1_type,2_line1,2_line2,2_line3,2_line4,2_line5,2_type,3_letter_word
There once was a judge named Larue,Was just found that her thought she was too,Herself on the jelly,To sex in her belly,So and what but the same things were true,DeepSpeare,There was a fierce boxer named Dwight,Who lost all his money in a fight.,"When he tried to retire,","He was killed by a fire,",Then turned into a spirit of light.,LimGen,1
There was a shy girl named Lenore,Who had a big smile on her before.,"When she started to talk,","She was able to walk,",So she had to sit down on the floor.,LimGen,There once was a woman named Kay,Went for as he was two and they play,But he said she just hit,I see that you do it,Got so but when they thought that one day,DeepSpeare,2
There was a boxer named Dwight,Who lost all his money in a fight.,"When he tried to retire,","He was killed by a fire,",And that is the story of this knight.,LimGen,There was a honest judge named Dewitt,Screamed and as but she made men were fit,Did what that when he said,When he would put her head,But and I thought that she went on it,DeepSpeare,2
There was a nasty surgeon named Rose,And but when he let out with the clothes,Did what but they have been,Knew what that she was one,Said and she was a man on her nose,DeepSpeare,There was a shy actor named Dario,Who played a big role on our show.,"He came back from the break,","And we went to the lake,",And he sat down and took his photo.,LimGen,2
There once was a woman named Renee,Who lived a good life on her birthday.,"She was a musician,","She was on a mission,",She was blessed to have a perfect day.,LimGen,There was a hairy doctor named Yer,But was no one did what how he were,But she knew when he said,As the game and was bed,Out with a man and she fell in her,DeepSpeare,4
There was a nervous man named Dewitt,A knew but was being always hit,But he had they have done,And she never no one,And he thought she said so they have it,DeepSpeare,There was a dentist named Dane,Who did a great job on our brain.,"He was a physician,","He was on a mission,",And he came down and saw our pain.,LimGen,1
There was a loud boy named Chase,Who put a big smile on our face.,"He came back from the war,","And he went to the store,",And he looked down and saw our place.,LimGen,There was a honest butcher named Yer,High and but knew as who tried to ter,What and but it thought he,She went out on a sea,He said one that she was lean on her,DeepSpeare,3
There was a stupid girl named Susann,Tried to drunk when her hair from the sun,He flew into his head,When then she let her bed,He said that she thought it went on one,DeepSpeare,There was a surgeon named Dane,Who did a great job on our brain.,"He was a physician,","He was on a mission,",He totally understood our pain.,LimGen,1
There was a bright surgeon named Ambrose,Was so who but when she made her clothes,When her body grew more,He went back in the door,He came out with a man in my nose,DeepSpeare,There was a lucky boy named Chase,Who did a great job on our place.,"We got back from the show,","We were ready to go,",And he came down and took our space.,LimGen,0
There was a nervous man named Chase,Who put a big smile on our face.,"We got back from the break,","And we went to the lake,",And we sat down and took our place.,LimGen,There was a surgeon named Liane,But who was then came back to the sun,But a game and she said,When she cut off his head,When he got out and he went on one,DeepSpeare,4
